"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"215","14","461","Block Group 2, Census Tract 55, District of Columbia, District of Columbia","11","001","005500","2"
"216","33","218","Block Group 3, Census Tract 55, District of Columbia, District of Columbia","11","001","005500","3"
"217","38","116","Block Group 4, Census Tract 55, District of Columbia, District of Columbia","11","001","005500","4"
"218","12","102","Block Group 5, Census Tract 55, District of Columbia, District of Columbia","11","001","005500","5"
"219","25","96","Block Group 1, Census Tract 56, District of Columbia, District of Columbia","11","001","005600","1"
"220","0","165","Block Group 2, Census Tract 56, District of Columbia, District of Columbia","11","001","005600","2"
"221","35","86","Block Group 3, Census Tract 56, District of Columbia, District of Columbia","11","001","005600","3"
"222","0","101","Block Group 4, Census Tract 56, District of Columbia, District of Columbia","11","001","005600","4"
"223","27","135","Block Group 1, Census Tract 58, District of Columbia, District of Columbia","11","001","005800","1"
"224","78","328","Block Group 2, Census Tract 58, District of Columbia, District of Columbia","11","001","005800","2"
"225","6","180","Block Group 1, Census Tract 59, District of Columbia, District of Columbia","11","001","005900","1"
"226","0","0","Block Group 1, Census Tract 62.02, District of Columbia, District of Columbia","11","001","006202","1"
"227","31","257","Block Group 1, Census Tract 64, District of Columbia, District of Columbia","11","001","006400","1"
"228","16","168","Block Group 2, Census Tract 64, District of Columbia, District of Columbia","11","001","006400","2"
"229","57","162","Block Group 1, Census Tract 65, District of Columbia, District of Columbia","11","001","006500","1"
"230","99","338","Block Group 2, Census Tract 65, District of Columbia, District of Columbia","11","001","006500","2"
"231","84","294","Block Group 1, Census Tract 66, District of Columbia, District of Columbia","11","001","006600","1"
"232","45","247","Block Group 1, Census Tract 67, District of Columbia, District of Columbia","11","001","006700","1"
"233","70","295","Block Group 2, Census Tract 67, District of Columbia, District of Columbia","11","001","006700","2"
"234","181","398","Block Group 3, Census Tract 67, District of Columbia, District of Columbia","11","001","006700","3"
"235","20","246","Block Group 1, Census Tract 68.01, District of Columbia, District of Columbia","11","001","006801","1"
"236","0","142","Block Group 2, Census Tract 68.01, District of Columbia, District of Columbia","11","001","006801","2"
"237","41","133","Block Group 1, Census Tract 68.02, District of Columbia, District of Columbia","11","001","006802","1"
"238","84","316","Block Group 2, Census Tract 68.02, District of Columbia, District of Columbia","11","001","006802","2"
"239","0","0","Block Group 1, Census Tract 68.04, District of Columbia, District of Columbia","11","001","006804","1"
"240","67","285","Block Group 1, Census Tract 69, District of Columbia, District of Columbia","11","001","006900","1"
"241","73","247","Block Group 2, Census Tract 69, District of Columbia, District of Columbia","11","001","006900","2"
"242","49","300","Block Group 1, Census Tract 70, District of Columbia, District of Columbia","11","001","007000","1"
"243","16","168","Block Group 2, Census Tract 70, District of Columbia, District of Columbia","11","001","007000","2"
"244","0","192","Block Group 1, Census Tract 71, District of Columbia, District of Columbia","11","001","007100","1"
